title,result_link,summary,filename
Googleapi.Contentwarehouse.V1,https://hexdocs.pm/google_api_content_warehouse/0.4.0/GoogleApi.ContentWarehouse.V1.html,"View Source GoogleApi.ContentWarehouse.V1 (google_api_content_warehouse v0.4.0)
API client metadata for GoogleApi.ContentWarehouse.V1.
Summary
Functions
Link to this function
API client metadata for GoogleApi.ContentWarehouse.V1.",https_hexdocs_pm_google_api_content_warehouse_0_4_0_GoogleApi_ContentWarehouse_V1_html.txt
Googleapi.Contentwarehouse.V1.Api.Projects,https://hexdocs.pm/google_api_content_warehouse/0.4.0/GoogleApi.ContentWarehouse.V1.Api.Projects.html,"View Source GoogleApi.ContentWarehouse.V1.Api.Projects (google_api_content_warehouse v0.4.0)
API calls for all endpoints tagged Projects
.
Summary
Functions
Gets the access control policy for a resource. Returns NOT_FOUND error if the resource does not exist. Returns an empty policy if the resource exists but does not have a policy set.
Creates a document schema.
Deletes a document schema. Returns NOT_FOUND if the document schema does not exist. Returns BAD_REQUEST if the document schema has documents depending on it.
Gets a document schema. Returns NOT_FOUND if the document schema does not exist.
Lists document schemas.
Updates a Document Schema. Returns INVALID_ARGUMENT if the name of the Document Schema is non-empty and does not equal the existing name. Supports only appending new properties, adding new ENUM possible values, and updating the EnumTypeOptions.validation_check_disabled flag for ENUM possible values",https_hexdocs_pm_google_api_content_warehouse_0_4_0_GoogleApi_ContentWarehouse_V1_Api_Projects_html.txt
Googleapi.Contentwarehouse.V1.Connection,https://hexdocs.pm/google_api_content_warehouse/0.4.0/GoogleApi.ContentWarehouse.V1.Connection.html,"View Source GoogleApi.ContentWarehouse.V1.Connection (google_api_content_warehouse v0.4.0)
Handle Tesla connections for GoogleApi.ContentWarehouse.V1.
Summary
Types
Functions
Perform a DELETE request.
Perform a DELETE request.
Execute a request on this connection
Perform a GET request.
Perform a GET request.
Perform a HEAD request.
Perform a HEAD request.
Configure an authless client connection
Configure a client connection using a function which yields a Bearer token.
Perform a OPTIONS request.
Perform a OPTIONS request.
Perform a PATCH request.
Perform a PATCH request.
Perform a POST request.
Perform a POST request.
Perform a PUT request.
Perform a PUT request.
Perform a request.
Perform request and raise in case of error.
Perform a TRACE request.
Perform a TRACE request.
Types
option()
View Source@type option() :: {:method, Tesla.Env.method()} | {:url, Tesla.Env.url()} | {:query, Tesla.Env.query()} | {:headers, Tesla.Env.headers()} | {:body, Tesla.Env.body()} | {:opts, Tesla.Env.opts()}
Options that may be passed to a request function. See request/2
for detailed descriptions.
@type t() :: Tesla.Env.client()
Functions
delete(client, url, opts)
View Source@spec delete(Tesla.Env.client(), Tesla.Env.url(), [option()]) :: Tesla.Env.result()
Perform a DELETE request.
See request/1
or request/2
for options definition.
delete(""/users"")
delete(""/users"", query: [scope: ""admin""])
delete(client, ""/users"")
delete(client, ""/users"", query: [scope: ""admin""])
delete(client, ""/users"", body: %{name: ""Jon""})
delete!(client, url, opts)
View Source@spec delete!(Tesla.Env.client(), Tesla.Env.url(), [option()]) :: Tesla.Env.t() | no_return()
Perform a DELETE request.
See request!/1
or request!/2
for options definition.
delete!(""/users"")
delete!(""/users"", query: [scope: ""admin""])
delete!(client, ""/users"")
delete!(client, ""/users"", query: [scope: ""admin""])
delete!(client, ""/users"", body: %{name: ""Jon""})
execute(connection, request)
View Source@spec execute(Tesla.Client.t(), GoogleApi.Gax.Request.t()) :: {:ok, Tesla.Env.t()}
Execute a request on this connection
Returns
-
{:ok, Tesla.Env.t}
- If the call was successful -
{:error, reason}
- If the call failed
get(client, url, opts)
View Source@spec get(Tesla.Env.client(), Tesla.Env.url(), [option()]) :: Tesla.Env.result()
Perform a GET request.
See request/1
or request/2
for options definition.
get(""/users"")
get(""/users"", query: [scope: ""admin""])
get(client, ""/users"")
get(client, ""/users"", query: [scope: ""admin""])
get(client, ""/users"", body: %{name: ""Jon""})
get!(client, url, opts)
View Source@spec get!(Tesla.Env.client(), Tesla.Env.url(), [option()]) :: Tesla.Env.t() | no_return()
Perform a GET request.
See request!/1
or request!/2
for options definition.
get!(""/users"")
get!(""/users"", query: [scope: ""admin""])
get!(client, ""/users"")
get!(client, ""/users"", query: [scope: ""admin""])
get!(client, ""/users"", body: %{name: ""Jon""})
head(client, url, opts)
View Source@spec head(Tesla.Env.client(), Tesla.Env.url(), [option()]) :: Tesla.Env.result()
Perform a HEAD request.
See request/1
or request/2
for options definition.
head(""/users"")
head(""/users"", query: [scope: ""admin""])
head(client, ""/users"")
head(client, ""/users"", query: [scope: ""admin""])
head(client, ""/users"", body: %{name: ""Jon""})
head!(client, url, opts)
View Source@spec head!(Tesla.Env.client(), Tesla.Env.url(), [option()]) :: Tesla.Env.t() | no_return()
Perform a HEAD request.
See request!/1
or request!/2
for options definition.
head!(""/users"")
head!(""/users"", query: [scope: ""admin""])
head!(client, ""/users"")
head!(client, ""/users"", query: [scope: ""admin""])
head!(client, ""/users"", body: %{name: ""Jon""})
@spec new() :: Tesla.Client.t()
Configure an authless client connection
Returns
-
Tesla.Env.client
new(token)
View Source@spec new(String.t()) :: Tesla.Client.t()
@spec new(([String.t()] -> String.t())) :: Tesla.Client.t()
Configure a client connection using a function which yields a Bearer token.
Parameters
-
token_fetcher
(type:list(String.t()) -> String.t()
) - Callback which provides an OAuth2 token given a list of scopes
Returns
-
Tesla.Env.client
options(client, url, opts)
View Source@spec options(Tesla.Env.client(), Tesla.Env.url(), [option()]) :: Tesla.Env.result()
Perform a OPTIONS request.
See request/1
or request/2
for options definition.
options(""/users"")
options(""/users"", query: [scope: ""admin""])
options(client, ""/users"")
options(client, ""/users"", query: [scope: ""admin""])
options(client, ""/users"", body: %{name: ""Jon""})
options!(client, url, opts)
View Source@spec options!(Tesla.Env.client(), Tesla.Env.url(), [option()]) :: Tesla.Env.t() | no_return()
Perform a OPTIONS request.
See request!/1
or request!/2
for options definition.
options!(""/users"")
options!(""/users"", query: [scope: ""admin""])
options!(client, ""/users"")
options!(client, ""/users"", query: [scope: ""admin""])
options!(client, ""/users"", body: %{name: ""Jon""})
patch(client, url, body, opts)
View Source@spec patch(Tesla.Env.client(), Tesla.Env.url(), Tesla.Env.body(), [option()]) :: Tesla.Env.result()
Perform a PATCH request.
See request/1
or request/2
for options definition.
patch(""/users"", %{name: ""Jon""})
patch(""/users"", %{name: ""Jon""}, query: [scope: ""admin""])
patch(client, ""/users"", %{name: ""Jon""})
patch(client, ""/users"", %{name: ""Jon""}, query: [scope: ""admin""])
patch!(client, url, body, opts)
View Source@spec patch!(Tesla.Env.client(), Tesla.Env.url(), Tesla.Env.body(), [option()]) :: Tesla.Env.t() | no_return()
Perform a PATCH request.
See request!/1
or request!/2
for options definition.
patch!(""/users"", %{name: ""Jon""})
patch!(""/users"", %{name: ""Jon""}, query: [scope: ""admin""])
patch!(client, ""/users"", %{name: ""Jon""})
patch!(client, ""/users"", %{name: ""Jon""}, query: [scope: ""admin""])
post(client, url, body, opts)
View Source@spec post(Tesla.Env.client(), Tesla.Env.url(), Tesla.Env.body(), [option()]) :: Tesla.Env.result()
Perform a POST request.
See request/1
or request/2
for options definition.
post(""/users"", %{name: ""Jon""})
post(""/users"", %{name: ""Jon""}, query: [scope: ""admin""])
post(client, ""/users"", %{name: ""Jon""})
post(client, ""/users"", %{name: ""Jon""}, query: [scope: ""admin""])
post!(client, url, body, opts)
View Source@spec post!(Tesla.Env.client(), Tesla.Env.url(), Tesla.Env.body(), [option()]) :: Tesla.Env.t() | no_return()
Perform a POST request.
See request!/1
or request!/2
for options definition.
post!(""/users"", %{name: ""Jon""})
post!(""/users"", %{name: ""Jon""}, query: [scope: ""admin""])
post!(client, ""/users"", %{name: ""Jon""})
post!(client, ""/users"", %{name: ""Jon""}, query: [scope: ""admin""])
put(client, url, body, opts)
View Source@spec put(Tesla.Env.client(), Tesla.Env.url(), Tesla.Env.body(), [option()]) :: Tesla.Env.result()
Perform a PUT request.
See request/1
or request/2
for options definition.
put(""/users"", %{name: ""Jon""})
put(""/users"", %{name: ""Jon""}, query: [scope: ""admin""])
put(client, ""/users"", %{name: ""Jon""})
put(client, ""/users"", %{name: ""Jon""}, query: [scope: ""admin""])
put!(client, url, body, opts)
View Source@spec put!(Tesla.Env.client(), Tesla.Env.url(), Tesla.Env.body(), [option()]) :: Tesla.Env.t() | no_return()
Perform a PUT request.
See request!/1
or request!/2
for options definition.
put!(""/users"", %{name: ""Jon""})
put!(""/users"", %{name: ""Jon""}, query: [scope: ""admin""])
put!(client, ""/users"", %{name: ""Jon""})
put!(client, ""/users"", %{name: ""Jon""}, query: [scope: ""admin""])
request(client \\ %Tesla.Client{}, options)
View Source@spec request(Tesla.Env.client(), [option()]) :: Tesla.Env.result()
Perform a request.
Options
:method
- the request method, one of [:head
,:get
,:delete
,:trace
,:options
,:post
,:put
,:patch
]:url
- either full url e.g. ""http://example.com/some/path"" or just ""/some/path"" if usingTesla.Middleware.BaseUrl
:query
- a keyword list of query params, e.g.[page: 1, per_page: 100]
:headers
- a keyworld list of headers, e.g.[{""content-type"", ""text/plain""}]
:body
- depends on used middleware:- by default it can be a binary
- if using e.g. JSON encoding middleware it can be a nested map
- if adapter supports it it can be a Stream with any of the above
:opts
- custom, per-request middleware or adapter options
Examples
ExampleApi.request(method: :get, url: ""/users/path"")
# use shortcut methods
ExampleApi.get(""/users/1"")
ExampleApi.post(client, ""/users"", %{name: ""Jon""})
request!(client \\ %Tesla.Client{}, options)
View Source@spec request!(Tesla.Env.client(), [option()]) :: Tesla.Env.t() | no_return()
Perform request and raise in case of error.
This is similar to request/2
behaviour from Tesla 0.x
See request/2
for list of available options.
trace(client, url, opts)
View Source@spec trace(Tesla.Env.client(), Tesla.Env.url(), [option()]) :: Tesla.Env.result()
Perform a TRACE request.
See request/1
or request/2
for options definition.
trace(""/users"")
trace(""/users"", query: [scope: ""admin""])
trace(client, ""/users"")
trace(client, ""/users"", query: [scope: ""admin""])
trace(client, ""/users"", body: %{name: ""Jon""})
trace!(client, url, opts)
View Source@spec trace!(Tesla.Env.client(), Tesla.Env.url(), [option()]) :: Tesla.Env.t() | no_return()
Perform a TRACE request.
See request!/1
or request!/2
for options definition.
trace!(""/users"")
trace!(""/users"", query: [scope: ""admin""])
trace!(client, ""/users"")
trace!(client, ""/users"", query: [scope: ""admin""])
trace!(client, ""/users"", body: %{name: ""Jon""})",https_hexdocs_pm_google_api_content_warehouse_0_4_0_GoogleApi_ContentWarehouse_V1_Connection_html.txt
Googleapi.Contentwarehouse.V1.Model.Abuseiamabusetype,https://hexdocs.pm/google_api_content_warehouse/0.4.0/GoogleApi.ContentWarehouse.V1.Model.AbuseiamAbuseType.html,"View Source GoogleApi.ContentWarehouse.V1.Model.AbuseiamAbuseType (google_api_content_warehouse v0.4.0)
Attributes
-
id
(type:String.t
, default:nil
) - -
subtype
(type:String.t
, default:nil
) - Optional client specific subtype of abuse that is too specific to belong in the above enumeration. For example, some client may want to differentiate nudity from graphic sex, but both are PORNOGRAPHY.
Summary
Functions
Unwrap a decoded JSON object into its complex fields.
Types
Functions
Link to this function
decode(value, options)
View SourceUnwrap a decoded JSON object into its complex fields.",https_hexdocs_pm_google_api_content_warehouse_0_4_0_GoogleApi_ContentWarehouse_V1_Model_AbuseiamAbuseType_html.txt
Googleapi.Contentwarehouse.V1.Model.Abuseiamagerestriction,https://hexdocs.pm/google_api_content_warehouse/0.4.0/GoogleApi.ContentWarehouse.V1.Model.AbuseiamAgeRestriction.html,"View Source GoogleApi.ContentWarehouse.V1.Model.AbuseiamAgeRestriction (google_api_content_warehouse v0.4.0)
Attributes
-
ageYears
(type:integer()
, default:nil
) - This restriction applies if the user is between [min_age_years, age_years) years old. -
minAgeYears
(type:integer()
, default:nil
) -
Summary
Functions
Unwrap a decoded JSON object into its complex fields.
Types
Functions
Link to this function
decode(value, options)
View SourceUnwrap a decoded JSON object into its complex fields.",https_hexdocs_pm_google_api_content_warehouse_0_4_0_GoogleApi_ContentWarehouse_V1_Model_AbuseiamAgeRestriction_html.txt
Googleapi.Contentwarehouse.V1.Model.Abuseiamandrestriction,https://hexdocs.pm/google_api_content_warehouse/0.4.0/GoogleApi.ContentWarehouse.V1.Model.AbuseiamAndRestriction.html,"View Source GoogleApi.ContentWarehouse.V1.Model.AbuseiamAndRestriction (google_api_content_warehouse v0.4.0)
Attributes
-
child
(type:list(GoogleApi.ContentWarehouse.V1.Model.AbuseiamUserRestriction.t)
, default:nil
) - This restriction applies if all of the children apply.
Summary
Functions
Unwrap a decoded JSON object into its complex fields.
Types
@type t() :: %GoogleApi.ContentWarehouse.V1.Model.AbuseiamAndRestriction{ child: [GoogleApi.ContentWarehouse.V1.Model.AbuseiamUserRestriction.t()] | nil }
Functions
Link to this function
decode(value, options)
View SourceUnwrap a decoded JSON object into its complex fields.",https_hexdocs_pm_google_api_content_warehouse_0_4_0_GoogleApi_ContentWarehouse_V1_Model_AbuseiamAndRestriction_html.txt
Googleapi.Contentwarehouse.V1.Model.Abuseiamclient,https://hexdocs.pm/google_api_content_warehouse/0.4.0/GoogleApi.ContentWarehouse.V1.Model.AbuseiamClient.html,"View Source GoogleApi.ContentWarehouse.V1.Model.AbuseiamClient (google_api_content_warehouse v0.4.0)
A client is be a Google product, or subproduct that provides content for AbuseIAm to classify.
Attributes
-
id
(type:String.t
, default:nil
) - -
subservice
(type:String.t
, default:nil
) - The name of the subservice within a client. This subservice can be used to affect the flow of decision script, or selection of backend classifiers. For example, StreetView may want to specify a panel is insufficiently blurred (maybe there is a lisense plate or public sex, etc), which requires manual review then the subservice might be ""blurring"".
Summary
Functions
Unwrap a decoded JSON object into its complex fields.
Types
Functions
Link to this function
decode(value, options)
View SourceUnwrap a decoded JSON object into its complex fields.",https_hexdocs_pm_google_api_content_warehouse_0_4_0_GoogleApi_ContentWarehouse_V1_Model_AbuseiamClient_html.txt
Googleapi.Contentwarehouse.V1.Model.Abuseiamconstantrestriction,https://hexdocs.pm/google_api_content_warehouse/0.4.0/GoogleApi.ContentWarehouse.V1.Model.AbuseiamConstantRestriction.html,"View Source GoogleApi.ContentWarehouse.V1.Model.AbuseiamConstantRestriction (google_api_content_warehouse v0.4.0)
Attributes
-
type
(type:String.t
, default:nil
) - A constant of type TRUE always applies, and of type FALSE never applies.
Summary
Functions
Unwrap a decoded JSON object into its complex fields.
Types
@type t() :: %GoogleApi.ContentWarehouse.V1.Model.AbuseiamConstantRestriction{ type: String.t() | nil }
Functions
Link to this function
decode(value, options)
View SourceUnwrap a decoded JSON object into its complex fields.",https_hexdocs_pm_google_api_content_warehouse_0_4_0_GoogleApi_ContentWarehouse_V1_Model_AbuseiamConstantRestriction_html.txt
Googleapi.Contentwarehouse.V1.Model.Abuseiamcontentrestriction,https://hexdocs.pm/google_api_content_warehouse/0.4.0/GoogleApi.ContentWarehouse.V1.Model.AbuseiamContentRestriction.html,"View Source GoogleApi.ContentWarehouse.V1.Model.AbuseiamContentRestriction (google_api_content_warehouse v0.4.0)
Pair of Verdicts used for ProjectR age/geo gating. See http://go/projectr for more information.
Attributes
-
adminVerdict
(type:list(GoogleApi.ContentWarehouse.V1.Model.AbuseiamVerdict.t)
, default:nil
) - Takedowns specified by admins via AbuseIAm -
userVerdict
(type:list(GoogleApi.ContentWarehouse.V1.Model.AbuseiamVerdict.t)
, default:nil
) - User-specified takedowns
Summary
Functions
Unwrap a decoded JSON object into its complex fields.
Types
@type t() :: %GoogleApi.ContentWarehouse.V1.Model.AbuseiamContentRestriction{ adminVerdict: [GoogleApi.ContentWarehouse.V1.Model.AbuseiamVerdict.t()] | nil, userVerdict: [GoogleApi.ContentWarehouse.V1.Model.AbuseiamVerdict.t()] | nil }
Functions
Link to this function
decode(value, options)
View SourceUnwrap a decoded JSON object into its complex fields.",https_hexdocs_pm_google_api_content_warehouse_0_4_0_GoogleApi_ContentWarehouse_V1_Model_AbuseiamContentRestriction_html.txt
Googleapi.Contentwarehouse.V1.Model.Abuseiamevaluation,https://hexdocs.pm/google_api_content_warehouse/0.4.0/GoogleApi.ContentWarehouse.V1.Model.AbuseiamEvaluation.html,"View Source GoogleApi.ContentWarehouse.V1.Model.AbuseiamEvaluation (google_api_content_warehouse v0.4.0)
Backends return Evaluations to AbuseIAm. One of the things Evaluations are used for is to explain Verdicts.
Attributes
-
abuseType
(type:GoogleApi.ContentWarehouse.V1.Model.AbuseiamAbuseType.t
, default:nil
) - -
backend
(type:String.t
, default:nil
) - Who creates this Evaluation. This field is required. -
comment
(type:String.t
, default:nil
) - Backends can choose to put some debug info in addition to abuse_type, score, and status. -
miscData
(type:list(GoogleApi.ContentWarehouse.V1.Model.AbuseiamNameValuePair.t)
, default:nil
) - This field is used to store miscellaneous information that Backend might provide. If you find youself here considering to use this field, please prefer using the repeated feature field below instead. It supports a richer structure for passing complex data back from the backend. -
processedMicros
(type:String.t
, default:nil
) - When the evaluation was processed by the decision script",https_hexdocs_pm_google_api_content_warehouse_0_4_0_GoogleApi_ContentWarehouse_V1_Model_AbuseiamEvaluation_html.txt
