title,result_link,summary,filename
Achieving Rapid Response Times in Large Online Services,https://static.googleusercontent.com/media/research.google.com/en//pubs/archive/44875.pdf,,53c2a824c979154f4546ead5d8b610571aea.txt
2023.09.21-AM-Trial-Transcript_FINAL.txt,https://thecapitolforum.com/wp-content/uploads/2023/10/2023.09.21-AM-Trial-Transcript_FINAL.pdf,,2023.09.21-AM-Trial-Transcript_FINAL.txt
101623-USA-v-Google-AM,https://thecapitolforum.com/wp-content/uploads/2023/10/101623-USA-v-Google-AM.pdf,,101623-USA-v-Google-AM.txt
101823-USA-v-Google-PM,https://thecapitolforum.com/wp-content/uploads/2023/10/101823-USA-v-Google-PM.pdf,,101823-USA-v-Google-PM.txt
UPX1087: U.S. and Plaintiff States v. Google LLC,https://www.justice.gov/d9/2023-10/417245.pdf,,417245.txt
UPX0197: U.S. and Plaintiff States v. Google LLC,https://www.justice.gov/d9/2023-11/417828.pdf,,417828.txt
Trial Exhibit-UPXD105: U.S.v. Plaintiff States v. Google LLC.,https://www.justice.gov/d9/2023-11/418021.pdf,,418021.txt
20230920-APM-BT7-PM-PUBLIC-Google,https://thecapitolforum.com/wp-content/uploads/2023/10/20230920-APM-BT7-PM-PUBLIC-Google.pdf,,20230920-APM-BT7-PM-PUBLIC-Google.txt
Documents via WSJ,https://graphics.wsj.com/google-ftc-report/img/ftc-ocr-watermark.pdf,,ftc-ocr-watermark.txt
Staff Memo,https://stratechery.com/wp-content/uploads/2021/03/Staff-Memo.pdf,,Staff Memo.txt
Google Resume - Maricia Scott,https://avalonlibrary.net/Project_Veritas_Google_document_dump/Fake%20News/Google%20Resume%20-%20Maricia%20Scott.pdf,,Google Resume - Maricia Scott.txt
Paul Haahr_ Google Resume,https://avalonlibrary.net/Project_Veritas_Google_document_dump/Fake%20News/Paul%20Haahr_%20Google%20Resume.pdf,,Paul Haahr_ Google Resume.txt
Realtime-Boost,https://www.zachvorhies.com/google_leaks/Fake%20News/Realtime%20Boost.pdf,,Realtime-Boost.txt
Realtime-Boost-DesignDoc,https://www.zachvorhies.com/google_leaks/Fake%20News/Realtime%20Boost%20-%20DesignDoc.pdf,,Realtime-Boost-DesignDoc.txt
RealtimeBoost-Events-DesignDoc,https://www.zachvorhies.com/google_leaks/Fake%20News/RealtimeBoost%20Events%20DesignDoc.pdf,,RealtimeBoost-Events-DesignDoc.txt
Realtime-Events-preso,https://www.zachvorhies.com/google_leaks/Fake%20News/Realtime%20Events%20-%20preso.pdf,,Realtime-Events-preso.txt
Stanford-DL-Nov-2010,https://static.googleusercontent.com/media/research.google.com/en//people/jeff/Stanford-DL-Nov-2010.pdf,,Stanford-DL-Nov-2010.txt
Twiddler Quick Start Guide - Superroot,https://avalonlibrary.net/Project_Veritas_Google_document_dump/Fake%20News/Twiddler%20Quick%20Start%20Guide%20-%20Superroot.pdf,,Twiddler Quick Start Guide - Superroot.txt
us_v_google,https://regmedia.co.uk/2024/02/26/us_v_google.pdf,,us_v_google.txt
